id,user,uid,version,changeset,timestamp
46905878,NE2,207745,1,3439822,2009-12-24T04:02:06Z
46905879,NE2,207745,2,3439822,2009-12-24T04:34:58Z
46905880,pathym,689176,4,16663008,2013-06-22T23:57:15Z
46905881,MxxCon,384667,3,16490988,2013-06-10T05:11:34Z
46905882,dc157,1714546,3,17665456,2013-09-04T05:46:50Z
46905883,Rub21_nycbuildings,1781294,5,19131224,2013-11-26T18:10:09Z
46905884,NE2,207745,1,3439822,2009-12-24T04:02:12Z
46905885,karitotp,2748195,4,39538602,2016-05-24T17:08:05Z
46905886,saikabhi,3029661,4,39532152,2016-05-24T12:17:19Z
46905887,Xoan Manuel,840447,3,16203497,2013-05-20T07:02:36Z
46905888,MxxCon,384667,3,16490988,2013-06-10T05:11:34Z
46905890,Shompol,24396,2,10461655,2012-01-22T04:00:27Z
46905891,NE2,207745,1,3439822,2009-12-24T04:02:16Z
46905892,MxxCon,384667,2,16491005,2013-06-10T05:14:48Z
46905893,MxxCon,384667,2,11773965,2012-06-02T06:38:46Z
46905894,NE2,207745,2,3439822,2009-12-24T04:35:04Z
46905895,NE2,207745,2,3439822,2009-12-24T04:35:05Z
46905897,Robot8A,393359,5,40005061,2016-06-13T22:45:55Z
46905898,NE2,207745,1,3439822,2009-12-24T04:02:23Z
46905899,Robot8A,393359,3,40005061,2016-06-13T22:45:55Z
46905900,pathym,689176,5,16663008,2013-06-22T23:56:45Z
46905901,Matt1993,1891499,4,22911151,2014-06-13T15:42:41Z
46905902,MxxCon,384667,11,43653041,2016-11-14T20:23:20Z
46905903,watame,1380816,3,15876609,2013-04-26T20:18:23Z
46905904,MxxCon,384667,4,16491021,2013-06-10T05:17:37Z
46905905,pathym,689176,5,16663008,2013-06-22T23:56:44Z
46905906,MxxCon,384667,6,16491001,2013-06-10T05:13:55Z
46905907,MxxCon,384667,4,16491021,2013-06-10T05:17:37Z
46905908,karitotp,2748195,4,39538602,2016-05-24T17:08:05Z
46905934,watame,1380816,7,15936183,2013-05-01T17:06:12Z
46906168,KristenK,1494110,4,21774004,2014-04-18T18:16:48Z
46906169,NE2,207745,1,3439822,2009-12-24T04:34:37Z
46906170,NE2,207745,1,3439822,2009-12-24T04:34:38Z
46906171,NE2,207745,1,3439822,2009-12-24T04:34:38Z
46906172,saikabhi,3029661,2,39532152,2016-05-24T12:17:18Z
46906173,NE2,207745,1,3439822,2009-12-24T04:34:42Z
46906174,NE2,207745,1,3439822,2009-12-24T04:34:43Z
46906175,NE2,207745,1,3439822,2009-12-24T04:34:44Z
46906176,bot-mode,451693,2,15788236,2013-04-19T18:31:18Z
46906177,MxxCon,384667,2,16490986,2013-06-10T05:10:46Z
46906178,MxxCon,384667,2,11773965,2012-06-02T06:36:24Z
46906179,NE2,207745,1,3439822,2009-12-24T04:34:50Z
46906180,bot-mode,451693,2,15788236,2013-04-19T18:31:18Z
46906181,bot-mode,451693,2,15788236,2013-04-19T18:31:18Z
46906182,bot-mode,451693,2,15788236,2013-04-19T18:31:19Z
46906184,MxxCon,384667,3,16490976,2013-06-10T05:08:59Z
46906187,NE2,207745,2,3439822,2009-12-24T04:52:53Z
46906190,NE2,207745,1,3439822,2009-12-24T04:35:03Z
46906314,NE2,207745,3,8797464,2011-07-22T12:50:37Z
46906315,Rub21_nycbuildings,1781294,4,19134183,2013-11-26T20:58:09Z
46906316,NE2,207745,3,8797464,2011-07-22T12:50:36Z
46906317,watame,1380816,4,15936183,2013-05-01T17:06:13Z
46906318,Rub21_nycbuildings,1781294,4,19134183,2013-11-26T20:58:09Z
46906319,dc157,1714546,2,17664702,2013-09-04T03:48:42Z
46906320,Northern Pyro,1210020,3,15289846,2013-03-08T06:22:21Z
46906321,MxxCon,384667,5,16491012,2013-06-10T05:15:52Z
46906322,pathym,689176,4,16663008,2013-06-22T23:56:46Z
46906323,pathym,689176,4,16663008,2013-06-22T23:56:47Z
46906324,dannykath,2226712,7,39520338,2016-05-23T21:47:21Z
46906325,wegavision,564585,6,37316476,2016-02-19T19:55:51Z
46906326,dc157,1714546,2,17664702,2013-09-04T03:48:42Z
46906327,NE2,207745,1,3439822,2009-12-24T04:52:46Z
46906328,NE2,207745,1,3439822,2009-12-24T04:52:46Z
46906329,bjoern262,651621,7,40263566,2016-06-24T15:05:47Z
46906330,bot-mode,451693,2,15788236,2013-04-19T18:31:19Z
46906331,Nicolas Love,2359041,3,30927173,2015-05-09T06:21:25Z
47652436,watame,1380816,5,16366896,2013-05-31T15:48:25Z
